Server Name,EH,799 Found,799 Message,799 Last Date,799 Offset,799 TimeWritten
ABBTSS001 ,Error: WMI Service root\cimv2 -2147217394 Invalid namespace ,,,,,
BLVTSS001,Error: Server Unreachable,,,,,
BRDTSS100,Error: Server Unreachable,,,,,
BSRTSS050,Error: Server Unreachable,,,,,
CALTSS001,Error: Server Unreachable,,,,,
CALTSS003,Error: Server Unreachable,,,,,
CALTSS004,Error: Server Unreachable,,,,,
CALTSS005,Error: Server Unreachable,,,,,
CALTSS006,Error: Server Unreachable,,,,,
CHLTSS103,Error: Server Unreachable,,,,,
CTCTSS100,0,True,SCCM client health check.,4/17/2014 9:05:01 PM,1,20140417210501.000000-300
DALTSS055,Error: WMI Service root\cimv2 -2147024891 Access is denied. ,,,,,
DALTSS138,Error: Server Unreachable,,,,,
DALTSS139,Error: Server Unreachable,,,,,
DALTSS153,Error: Server Unreachable,,,,,
DALTSS163,Error: Server Unreachable,,,,,
DOHTSS501,Error: Server Unreachable,,,,,
ERHTSS002,0,True,SCCM client health check.,4/14/2014 1:05:02 AM,4,20140414010502.000000+060
ESHTSS500,Error: WMI Service root\cimv2 -2147023174 The RPC server is unavailable. ,,,,,
ESHTSS501,Error: WMI Service root\cimv2 -2147023174 The RPC server is unavailable. ,,,,,
FFXTSS100,Error: Server Unreachable,,,,,
FFXTSS103,Error: Server Unreachable,,,,,
FFXTSS107,Error: Server Unreachable,,,,,
FFXTSS108,Error: Server Unreachable,,,,,
FRSTSS105,Error: Server Unreachable,,,,,
FRSTSS501,Error: WMI Service root\cimv2 -2147023174 The RPC server is unavailable. ,,,,,
GBOTSS001,Error: Server Unreachable,,,,,
HOETSS021,Error: Event Viewer -2147221164 Class not registered ,,,,,
HOETSS103,Error: Server Unreachable,,,,,
HOETSS135,Error: Server Unreachable,,,,,
HOETSS148,Error: WMI Service root\cimv2 -2147024891 Access is denied. ,,,,,
HOETSS152,Error: Server Unreachable,,,,,
HOETSS168,Error: Server Unreachable,,,,,
HOETSS176,Error: Server Unreachable,,,,,
HOETSS620,Error: WMI Service root\cimv2 -2147023071 A security package specific error occurred. ,,,,,
HOETSS621,Error: WMI Service root\cimv2 -2147023071 A security package specific error occurred. ,,,,,
HOETSS700,Error: WMI Service root\cimv2 -2147024891 Access is denied. ,,,,,
HOETSS704,Error: WMI Service root\cimv2 -2147024891 Access is denied. ,,,,,
HRITSS100,Error: Server Unreachable,,,,,
HRITSS102,Error: Server Unreachable,,,,,
KRKTSS001,Error: Server Unreachable,,,,,
LGRTSS001,Error: Server Unreachable,,,,,
LHDTSS201,Error: Server Unreachable,,,,,
LUXTSS001,Error: Server Unreachable,,,,,
MKLTSS010,Error: Server Unreachable,,,,,
PCHTSS050,Error: Server Unreachable,,,,,
PDRTSS101,Error: Server Unreachable,,,,,
ROTTSS100,Error: WMI Service root\cimv2 -2147221164 Class not registered ,,,,,
SHWTSS001,Error: Server Unreachable,,,,,
SLATSS201,Error: Server Unreachable,,,,,
SNGTSS050,0,True,SCCM client health check.,4/13/2014 5:05:00 PM,5,20140413170500.000000-000
SNGTSS201,Error: Server Unreachable,,,,,
SRTTSS100,Error: Server Unreachable,,,,,
TADTSS101,0,True,SCCM client health check.,4/17/2014 9:05:05 PM,1,20140417210505.000000+480
TPRTSS001,Error: Server Unreachable,,,,,
TPRTSS051,Error: Server Unreachable,,,,,
TRPTSS001,Error: Server Unreachable,,,,,
TSSDEV999,Error: Server Unreachable,,,,,
UDRTSS112,Error: WMI Service root\cimv2 -2147024891 Access is denied. ,,,,,
UPSTSS142,Error: Server Unreachable,,,,,
UPSTSS172,Error: Server Unreachable,,,,,
UPSTSS405,Error: WMI Service root\cimv2 -2147024891 Access is denied. ,,,,,
UPSTSS500,Error: WMI Service root\cimv2 -2147023174 The RPC server is unavailable. ,,,,,
UPSTSS501,Error: WMI Service root\cimv2 -2147023174 The RPC server is unavailable. ,,,,,
UPSTSS622,Error: Server Unreachable,,,,,
UPSTSS702,Error: Server Unreachable,,,,,
UPSTSS705,Error: Server Unreachable,,,,,
UPSTSSPQSU02,Error: Server Unreachable,,,,,
UPSTSSPQSU03,Error: Server Unreachable,,,,,
UPSTSSPQSU04,Error: Server Unreachable,,,,,
VIRTSS001,Error: Server Unreachable,,,,,
YUZTSS004,0,True,SCCM client health check.,4/17/2014 9:05:00 PM,1,20140417210500.000000+660
