"ComputerName","AppID","AppName","Publisher","Version"
"UDRTSS114","{89F4137D-6C26-4A84-BDB8-2E5A4BB71E00}","Microsoft Silverlight","Microsoft Corporation","3.0.50106.0"
"UDRTSS114","{8B022DEE-48CB-4095-AE13-DE4779517AF2}","Citrix Access Management Console - Legacy Tools","Citrix Systems","5.0.1.0"
"UDRTSS114","{8D20B4D7-3422-4099-9332-39F27E617A6F}","Autodesk Design Review 2011","AutoDesk","11.0.0.86"
"UDRTSS114","{8E34682C-8118-31F1-BC4C-98CD9675E1C2}.KB2468871","Update for Microsoft .NET Framework 4 Extended (KB2468871)","Microsoft Corporation","1"
"UDRTSS114","{8E34682C-8118-31F1-BC4C-98CD9675E1C2}.KB2487367","Security Update for Microsoft .NET Framework 4 Extended (KB2487367)","Microsoft Corporation","1"
"UDRTSS114","{8E34682C-8118-31F1-BC4C-98CD9675E1C2}.KB2544514","Update 4.0.2 for Microsoft .NET Framework 4 Extended (KB2544514)","Microsoft Corporation","1"
"UDRTSS114","{8E34682C-8118-31F1-BC4C-98CD9675E1C2}.KB2736428","Security Update for Microsoft .NET Framework 4 Extended (KB2736428)","Microsoft Corporation","1"
"UDRTSS114","{8E34682C-8118-31F1-BC4C-98CD9675E1C2}.KB2742595","Security Update for Microsoft .NET Framework 4 Extended (KB2742595)","Microsoft Corporation","1"
"UDRTSS114","{8E34682C-8118-31F1-BC4C-98CD9675E1C2}.KB2858302v2","Security Update for Microsoft .NET Framework 4 Extended (KB2858302v2)","Microsoft Corporation","2"
"UDRTSS114","{8E34682C-8118-31F1-BC4C-98CD9675E1C2}.KB2901110v2","Security Update for Microsoft .NET Framework 4 Extended (KB2901110v2)","Microsoft Corporation","2"
"UDRTSS114","{8e70e4e1-06d7-470b-9f74-a51bef21088e}","Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.51106","Microsoft Corporation","11.0.51106.1"
"UDRTSS114","{90120000-00A4-0409-0000-0000000FF1CE}","Microsoft Office 2003 Web Components","Microsoft Corporation","12.0.6213.1000"
"UDRTSS114","{90140000-0011-0000-0000-0000000FF1CE}","Microsoft Office Professional Plus 2010","Microsoft Corporation","14.0.4763.1000"
"UDRTSS114","{90140000-0011-0000-0000-0000000FF1CE}_Office14.PROPLUS_{5AA4BAD4-1A94-4B03-8063-863BEF7DF4C7}","","Microsoft",
"UDRTSS114","{90140000-0011-0000-0000-0000000FF1CE}_Office14.PROPLUS_{61461470-8168-4F4B-97B7-617AF354F028}","Security Update for Microsoft PowerPoint 2010 (KB2553185) 32-Bit Edition","Microsoft",
"UDRTSS114","{90140000-0011-0000-0000-0000000FF1CE}_Office14.PROPLUS_{B5489515-6DD4-47A5-AE4E-64751D15F10E}","Security Update for Microsoft Office 2010 (KB2598243) 32-Bit Edition","Microsoft",
"UDRTSS114","{90140000-0011-0000-0000-0000000FF1CE}_Office14.PROPLUS_{CCC48FE2-175F-4CDE-82DF-F7BC4672C1A3}","Security Update for Microsoft Office 2010 (KB2553371) 32-Bit Edition","Microsoft",
