"ComputerName","AppID","AppName","Publisher","Version"
"DACTSS620","KB2618444-IE8","Security Update for Windows Internet Explorer 8 (KB2618444)","Microsoft Corporation","1"
"DACTSS620","KB2618451","Security Update for Windows Server 2003 (KB2618451)","Microsoft Corporation","1"
"DACTSS620","KB2620712","Security Update for Windows Server 2003 (KB2620712)","Microsoft Corporation","1"
"DACTSS620","KB2621440","Security Update for Windows Server 2003 (KB2621440)","Microsoft Corporation","1"
"DACTSS620","KB2631813","Security Update for Windows Server 2003 (KB2631813)","Microsoft Corporation","1"
"DACTSS620","KB2633952-v2","Hotfix for Windows Server 2003 (KB2633952-v2)","Microsoft Corporation","2"
"DACTSS620","KB2638806","Security Update for Windows Server 2003 (KB2638806)","Microsoft Corporation","1"
"DACTSS620","KB2639417","Security Update for Windows Server 2003 (KB2639417)","Microsoft Corporation","1"
"DACTSS620","KB2641690-v2","Update for Windows Server 2003 (KB2641690-v2)","Microsoft Corporation","2"
"DACTSS620","KB2644615","Security Update for Windows Server 2003 (KB2644615)","Microsoft Corporation","1"
"DACTSS620","KB2645640","Security Update for Windows Server 2003 (KB2645640)","Microsoft Corporation","1"
"DACTSS620","KB2647516","Security Update for Windows Server 2003 (KB2647516)","Microsoft Corporation","1"
"DACTSS620","KB2647516-IE8","Security Update for Windows Internet Explorer 8 (KB2647516)","Microsoft Corporation","1"
"DACTSS620","KB2647518","Security Update for Windows Server 2003 (KB2647518)","Microsoft Corporation","1"
"DACTSS620","KB2653956","Security Update for Windows Server 2003 (KB2653956)","Microsoft Corporation","1"
"DACTSS620","KB2655992","Security Update for Windows Server 2003 (KB2655992)","Microsoft Corporation","1"
"DACTSS620","KB2659262","Security Update for Windows Server 2003 (KB2659262)","Microsoft Corporation","1"
"DACTSS620","KB2660465","Security Update for Windows Server 2003 (KB2660465)","Microsoft Corporation","1"
"DACTSS620","KB2675157","Security Update for Windows Server 2003 (KB2675157)","Microsoft Corporation","1"
"DACTSS620","KB2675157-IE8","Security Update for Windows Internet Explorer 8 (KB2675157)","Microsoft Corporation","1"
"DACTSS620","KB2676562","Security Update for Windows Server 2003 (KB2676562)","Microsoft Corporation","1"
"DACTSS620","KB2685939","Security Update for Windows Server 2003 (KB2685939)","Microsoft Corporation","1"
"DACTSS620","KB2686509","Security Update for Windows Server 2003 (KB2686509)","Microsoft Corporation","1"
"DACTSS620","KB2691442","Security Update for Windows Server 2003 (KB2691442)","Microsoft Corporation","1"
"DACTSS620","KB2698365","Security Update for Windows Server 2003 (KB2698365)","Microsoft Corporation","1"
"DACTSS620","KB2705219","Security Update for Windows Server 2003 (KB2705219)","Microsoft Corporation","1"
"DACTSS620","KB2705219-v2","Security Update for Windows Server 2003 (KB2705219-v2)","Microsoft Corporation","2"
"DACTSS620","KB2707511","Security Update for Windows Server 2003 (KB2707511)","Microsoft Corporation","1"
"DACTSS620","KB2712808","Security Update for Windows Server 2003 (KB2712808)","Microsoft Corporation","1"
"DACTSS620","KB2718704","Update for Windows Server 2003 (KB2718704)","Microsoft Corporation","1"
