"Collection Name","CollectionID","Start Time","Duration in minutes","Maintenance Window Name","Maintenance Window Recurrence","Enabled"
"TS_AppDep.GME.PRD.GP.MAC._DG1","CEN026BC","02:00:00 AM","240","DG1 MAC General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.GP.MAC._DG2","CEN026BD","02:00:00 AM","240","DG2 MAC General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.PRD.GP.MEE","CEN026BF","02:00:00 AM","240","MEE General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.MEE._DG1","CEN026C0","02:00:00 AM","240","DG1 MEE General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.GP.MEL","CEN026C1","02:00:00 AM","240","MEL General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.MEL._DG1","CEN026C2","02:00:00 AM","240","DG1 MEL General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.GP.MKL","CEN026C3","02:00:00 AM","240","MKL General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.MKL._DG1","CEN026C4","02:00:00 AM","240","DG1 MKL General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.GP.MKL._DG2","CEN026C5","02:00:00 AM","240","DG2 MKL General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.PRD.GP.MSW","CEN026C7","02:00:00 AM","240","MSW General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.PCH","CEN02AF8","02:00:00 AM","240","TS_AppDep.GME.PRD.GP.PCH","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.PRD.GP.POU","CEN026C8","02:00:00 AM","240","POU General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.SBK","CEN0294A","02:00:00 AM","240","SBK General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.SKR","CEN0294C","02:00:00 AM","240","SKR General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.SKR._DG1","CEN0294D","02:00:00 AM","240","DG1 SBK General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.GP.SKR._DG2","CEN0294E","02:00:00 AM","240","DG2 SBK General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.PRD.GP.SNG","CEN026C9","02:00:00 AM","240","SNG General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.SNG._DG1","CEN026CA","02:00:00 AM","240","DG1 SNG General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.GP.STJ","CEN026CB","02:00:00 AM","240","STJ General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.SYC","CEN026CC","02:00:00 AM","240","SYC General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.SYN","CEN026CD","02:00:00 AM","240","SYN General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.SYN._DG1","CEN026CE","02:00:00 AM","240","DG1 SYN General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.GP.SYN._DG2","CEN026CF","02:00:00 AM","240","DG2 SYN General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.PRD.GP.TOR","CEN026D0","02:00:00 AM","240","TOR General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.TPR","CEN026D1","02:00:00 AM","240","TPR General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.UDR","CEN026D2","02:00:00 AM","240","UDR General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.UDR._DG1","CEN026D3","02:00:00 AM","240","DG1 UDR General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.GP.UDR._DG2","CEN026D4","02:00:00 AM","240","DG2 UDR General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.PRD.GP.UPS","CEN026D5","02:00:00 AM","240","UPS General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.UPS._DG1","CEN026D6","02:00:00 AM","240","DG1 UPS General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.GP.UPS._DG2","CEN026D7","02:00:00 AM","240","DG2 UPS General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.PRD.GP.UPSTREAM","CEN02675","02:00:00 AM","240","Upstream General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.UPSTREAM._DG1","CEN02676","02:00:00 AM","240","DG1 Upstream General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.GP.UPSTREAM._DG2","CEN02677","02:00:00 AM","240","DG2 Upstream General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.PRD.GP.USN","CEN026D8","02:00:00 AM","240","USN General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.YUZ","CEN026D9","02:00:00 AM","240","YUZ General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.XME","CEN025B4","02:00:00 AM","240","XME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.XME.ACC","CEN025B5","02:00:00 AM","240","Acceptance XME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.XME.ACC._DG1","CEN02832","02:00:00 AM","240","TS_AppDep.XME.ACC._DG1","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.XME.ACC._DG2","CEN02833","02:00:00 AM","240","TS_AppDep.XME.ACC._DG2","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.XME.ACC.AS","CEN025B6","02:00:00 AM","240","Application Specific Acceptance XME Terminal Servers","Occurs every 2 week(s) on Wednesday ","True"
"TS_AppDep.XME.ACC.AS._DG1","CEN02834","02:00:00 AM","240","TS_AppDep.XME.ACC.AS._DG1","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.XME.ACC.AS._DG2","CEN02835","02:00:00 AM","240","TS_AppDep.XME.ACC.AS._DG2","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.XME.ACC.GP","CEN025B8","02:00:00 AM","240","General Purpose Acceptance XME Terminal Servers","Occurs every 2 week(s) on Monday ","True"
"TS_AppDep.XME.ACC.GP._DG1","CEN02836","02:00:00 AM","240","TS_AppDep.XME.ACC.GP._DG1","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.XME.ACC.GP._DG2","CEN02837","02:00:00 AM","240","TS_AppDep.XME.ACC.GP._DG2","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.XME.PRD","CEN025BA","02:00:00 AM","240","Standard XME Terminal Servers","Occurs every 4 week(s) on Thursday ","True"
"TS_AppDep.XME.PRD._DG1","CEN02838","02:00:00 AM","240","TS_AppDep.XME.PRD._DG1","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.XME.PRD._DG2","CEN02839","02:00:00 AM","240","TS_AppDep.XME.PRD._DG2","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.XME.PRD.AS","CEN025BB","02:00:00 AM","240","Application Specific Production XME Terminal Servers","Occurs every 3 week(s) on Thursday ","True"
"TS_AppDep.XME.PRD.AS._DG1","CEN0283A","02:00:00 AM","240","TS_AppDep.XME.PRD.AS._DG1","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.XME.PRD.AS._DG2","CEN0283B","02:00:00 AM","240","TS_AppDep.XME.PRD.AS._DG2","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.XME.PRD.GP","CEN025BC","02:00:00 AM","240","Application Specific Acceptance XME Terminal Servers","Occurs every 3 week(s) on Wednesday ","True"
"TS_AppDep.XME.PRD.GP._DG1","CEN0283C","02:00:00 AM","240","TS_AppDep.XME.PRD.GP._DG1","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.XME.PRD.GP._DG2","CEN0283D","02:00:00 AM","240","TS_AppDep.XME.PRD.GP._DG2","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.XME.PRD.LegacyGP","CEN02AF9","02:00:00 AM","240","TS_AppDep.XME.PRD.LegacyGP","Occurs every 1 week(s) on Friday ","True"
