"Collection Name","CollectionID","Start Time","Duration in minutes","Maintenance Window Name","Maintenance Window Recurrence","Enabled"
"TS_AppDep.GME.PRD.AS.Intoolsv2013._DG2","CEN02863","02:00:00 AM","240","TS_AppDep.GME.PRD.AS.Intoolsv2013._DG2","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.PRD.AS.Intoolsv2013Capital","CEN02628","02:00:00 AM","240","Intoolsv2013Capital Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.AS.INTREPID","CEN02AF0","02:00:00 AM","240","TS_AppDep.GME.PRD.AS.INTREPID","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.PRD.AS.Intrepid3","CEN02629","02:00:00 AM","240","Intrepid3 Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.AS.iRAMP","CEN0262A","02:00:00 AM","240","iRamp Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.AS.LabWare","CEN02AF1","02:00:00 AM","240","TS_AppDep.GME.PRD.AS.LabWare","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.PRD.AS.LIMS","CEN0262B","02:00:00 AM","240","LIMS Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.AS.Meridium","CEN0262C","02:00:00 AM","240","Meridium Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.AS.Meridium._DG1","CEN0262D","02:00:00 AM","240","DG1 Meridium Application Specific Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.AS.Meridium._DG2","CEN0262E","02:00:00 AM","240","DG2 Meridium Application Specific Production GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.PRD.AS.Miro","CEN0262F","02:00:00 AM","240","Miro Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.AS.OpsInsight","CEN02630","02:00:00 AM","240","OpsInsight Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.AS.OpsInsight._DG1","CEN02631","02:00:00 AM","240","DG1 OpsInsight Application Specific Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.AS.OpsInsight._DG2","CEN02632","02:00:00 AM","240","DG2 OpsInsight Application Specific Production GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.PRD.AS.Peep","CEN02AF2","02:00:00 AM","240","TS_AppDep.GME.PRD.AS.Peep","Occurs every 1 week(s) on Friday ","True"
"TS_AppDep.GME.PRD.AS.Phoenix","CEN02636","02:00:00 AM","240","Phoenix Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.AS.Phoenix._DG1","CEN02637","02:00:00 AM","240","DG1 Phoenix Application Specific Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.AS.PowerPivot","CEN02638","02:00:00 AM","240","PowerPivot Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.AS.PrimaveraPOSS","CEN0281C","02:00:00 AM","240","TS_AppDep.GME.PRD.AS.PrimaveraPOSS","Occurs the Third Tuesday of every 1 month(s) ","True"
"TS_AppDep.GME.PRD.AS.PSIMS","CEN02639","02:00:00 AM","240","PSIMS Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.AS.PSIMS._DG1","CEN0263A","02:00:00 AM","240","DG1 PSIMS Application Specific Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.AS.PTMS","CEN0263B","02:00:00 AM","240","PTMS Application Specific Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
